,job_name,job_href,job_site,job_price_min,job_price_max,job_price_currency
81,Инженер по информационной безопасности,https://ekaterinburg.hh.ru/vacancy/67498576?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
82,Teamlead QA Automation engineer,https://ekaterinburg.hh.ru/vacancy/43670929?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
83,Системный инженер (SOC),https://ekaterinburg.hh.ru/vacancy/52031836?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
84,Преподаватель робототехники,https://ekaterinburg.hh.ru/vacancy/66927430?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,25000,40000,руб.
85,Сетевой инженер,https://ekaterinburg.hh.ru/vacancy/55535755?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
86,Tech Project Manager,https://ekaterinburg.hh.ru/vacancy/54797051?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
87,Kotlin/Java-разработчик в команду World,https://ekaterinburg.hh.ru/vacancy/54991613?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
88,Учитель информатики (профильные классы),https://ekaterinburg.hh.ru/vacancy/67491588?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,30000,0,руб.
89,Инженер IT,https://ekaterinburg.hh.ru/vacancy/55839868?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,70000,0,руб.
90,Руководитель группы тестирования,https://ekaterinburg.hh.ru/vacancy/39014647?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
91,Ведущий инженер Linux,https://ekaterinburg.hh.ru/vacancy/55595393?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,150000,0,руб.
92,".NET разработчик (Middle, Senior)",https://ekaterinburg.hh.ru/vacancy/67437417?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
93,Системный администратор UNIX,https://ekaterinburg.hh.ru/vacancy/67488539?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,110000,0,руб.
94,Site Reliability Engineer (SRE) / Software Engineer,https://ekaterinburg.hh.ru/vacancy/55223767?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
95,Системный администратор (удаленная работа),https://ekaterinburg.hh.ru/vacancy/67465395?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
